"","H","C"
"1",0.999291128500553,0.000697797417538041
"2",0.998397750718155,0.00158062532159503
"3",0.999528543042187,0.000464355741956402
"4",0.999615444726292,0.000375639116406872
"5",0.997412509221932,0.00254026288979592
"6",0.99886434548913,0.00112169508590247
"7",0.998998733498563,0.000979453968254433
"8",0.997248240964563,0.00272285874676935
"9",0.999503511787188,0.000489785644545755
"10",0.995031461417394,0.00488190460582449
"11",0.999826746910372,0.000170726760790113
"12",0.99939728787258,0.000595515786863299
"13",0.999457268196745,0.000534963353769391
"14",0.998657997001779,0.00132555223250589
"15",0.999835493417564,0.000162760767161625
"16",0.999880340482726,0.000117948726150124
"17",0.999404786361499,0.000587738977769185
"18",0.999484132063403,0.000506841586814181
"19",0.999453619405889,0.000533812849882728
"20",0.999571865186568,0.000421834083169879
"21",0.999238662661483,0.000752216524709664
"22",0.99996409009664,3.54600144963114e-05
"23",0.998561733889986,0.001416464517804
"24",0.999573784354189,0.000420632429887994
"25",0.998584980972452,0.001388885405176
"26",0.999599140495678,0.000396405218247852
"27",0.999792329662715,0.000205076374831132
"28",0.996481554823636,0.0034963826158669
"29",0.999622361210996,0.000371994946473627
"30",0.999126500738055,0.000860019416364317
"31",0.999682708564109,0.000312554329771591
"32",0.999330212058187,0.000661593015835601
"33",0.999073402229099,0.000915263013152299
"34",0.999263855058878,0.000726520940406061
"35",0.99951971494986,0.0004740896108081
"36",0.99927481733064,0.000716946771757368
"37",0.999280721547898,0.000708190453961319
"38",0.999311877098982,0.000682070552807681
"39",0.999018800899139,0.000971140948105476
"40",0.999179787898753,0.000816142134080988
"41",0.999750106765676,0.000245998296904382
"42",0.999177455928651,0.000814549490928933
"43",0.999801516850845,0.000196459832069777
"44",0.999454029599161,0.00054141662559241
"45",0.999056477321865,0.000932000274198346
"46",0.996125802371838,0.00382757563296165
"47",0.998954963641697,0.00103408808715859
"48",0.999276116814053,0.00071501387564785
"49",0.999940504580527,5.87589430865738e-05
