"","H.90","C.90","H.95","C.95","H.99","C.99","H.999","C.999"
"1",0.999999759720122,3.89432878666149e-07,0.999999353274593,8.77958036107269e-07,0.999998220049676,2.0217226295997e-06,0.999997307727972,2.99993025146946e-06
"2",0.999948898310139,5.05831560241741e-05,0.999938370679204,6.10599999934008e-05,0.999907942910915,9.11137417220643e-05,0.999862479925798,0.000136057770700495
"3",0.999948737599577,5.04245552023593e-05,0.9999381656796,6.08576915357656e-05,0.999907698373177,9.08724141710542e-05,0.999862195938945,0.000135777511905798
"4",0.999999599009561,2.30832056851312e-07,0.999999148274989,6.75649578472066e-07,0.999997975511938,1.78039507858959e-06,0.999997023741119,2.71967145677297e-06
"5",0.999807478965271,0.000250843992567774,0.99985063466074,0.000194238680255772,0.999875610868927,0.000161478553245649,0.999888915018567,0.000144028120868602
"6",0.999968413390085,3.97538159559383e-05,0.999972473980564,3.44277288720783e-05,0.999978295578165,2.6791810905816e-05,0.999983288250922,2.02431549843718e-05
"7",0.999969596494229,4.13056384641494e-05,0.999973657084708,3.59795513802894e-05,0.99997947868231,2.83436334140272e-05,0.999984471355066,2.17949774925829e-05
"8",0.999808662069415,0.000252395815075985,0.999851817764884,0.000195790502763984,0.999876793973071,0.00016303037575386,0.999890098122712,0.000145579943376814
"9",0.999481183901685,0.00092460047912489,0.999637112330193,0.000645512253412729,0.999670261002219,0.000586181160623094,0.999688372588586,0.00055400559384625
"10",0.999817172484019,0.000323231901245401,0.999825943924146,0.000307532354438381,0.999842765424957,0.000277424420559996,0.999857260529078,0.000251721808221406
"11",0.999819418070319,0.000327251159965563,0.999828189510445,0.000311551613158543,0.999844975362666,0.000281379873711864,0.999859277415499,0.000255331728863417
"12",0.999483429487984,0.000928619737845053,0.999639357916493,0.000649531512132892,0.999672470939928,0.000590136613774962,0.999690389475007,0.000557615514488261
"13",0.997898325317462,0.00502191102924435,0.998713952471191,0.00306331747585948,0.998765026388902,0.00294067191959235,0.998788424614589,0.00288448495501869
"14",0.999016853425477,0.00233595099024574,0.999036807488232,0.00228803461264934,0.999073594098411,0.0021996976596457,0.999106891527892,0.00211973939632949
"15",0.999024937996807,0.00235536474960554,0.999044892059562,0.00230744837200914,0.999081678669741,0.0022191114190055,0.999114976099222,0.0021391531556893
"16",0.997906409888793,0.00504132478860416,0.998722037042521,0.00308273123521929,0.998773110960233,0.00296008567895216,0.99879650918592,0.0029038987143785
